followers_count,verified,retweet_count,mention_count,bio_length,has_location,label,platform
16228,0.0,2576,1930,177,1,0,twitter
160,0.0,4,8,14,0,1,twitter
15148,0.0,2562,1716,437,0,0,twitter
18566,1.0,4607,556,284,1,0,twitter
121,0.0,12,1,26,1,1,twitter
20640,0.0,2095,781,252,0,0,twitter
130,0.0,28,17,16,0,1,twitter
17775,0.0,389,1953,343,1,0,twitter
167,0.0,27,5,18,0,1,twitter
41160,0.0,3236,850,217,1,0,twitter
27799,0.0,1085,681,133,1,0,twitter
43594,0.0,4526,1329,443,1,0,twitter
29342,0.0,1864,1197,165,1,0,twitter
18,0.0,11,18,12,0,1,twitter
115,0.0,12,7,24,0,1,twitter
145,0.0,9,0,4,1,1,twitter
4,0.0,17,19,11,0,1,twitter
15684,0.0,3140,1867,101,1,0,twitter
49,0.0,4,5,18,0,1,twitter
9,0.0,19,11,0,0,1,twitter
31,0.0,26,7,35,1,1,twitter
171,0.0,22,15,0,0,1,twitter
29320,0.0,3062,689,149,1,0,twitter
195,0.0,7,3,2,0,1,twitter
185,0.0,4,5,11,0,1,twitter
33659,1.0,4762,974,456,0,0,twitter
14794,0.0,3047,623,174,1,0,twitter
9355,1.0,3024,785,439,1,0,twitter
173,0.0,21,13,35,0,1,twitter
28,0.0,15,14,26,1,1,twitter
127,0.0,15,18,36,0,1,twitter
52,0.0,26,11,7,0,1,twitter
60,0.0,8,9,34,0,1,twitter
20175,0.0,3408,1843,201,1,0,twitter
193,0.0,16,8,24,1,1,twitter
36397,0.0,1953,960,357,1,0,twitter
88,0.0,16,18,6,0,1,twitter
15,0.0,19,19,12,1,1,twitter
194,0.0,25,15,32,0,1,twitter
47298,0.0,1543,1646,362,1,0,twitter
127,0.0,27,4,7,0,1,twitter
22010,0.0,2722,106,495,1,0,twitter
40916,1.0,2980,354,157,1,0,twitter
1069,1.0,430,1086,89,1,0,twitter
95,0.0,0,16,18,0,1,twitter
6273,0.0,255,1929,95,0,0,twitter
180,0.0,17,0,38,0,1,twitter
46650,0.0,3381,1360,434,1,0,twitter
132,0.0,27,3,22,0,1,twitter
20825,0.0,4922,959,241,1,0,twitter
55,0.0,21,13,3,0,1,twitter
23670,1.0,1510,1182,397,0,0,twitter
17055,1.0,3989,1303,464,1,0,twitter
8310,1.0,1170,954,334,0,0,twitter
17629,0.0,2344,1472,407,0,0,twitter
65,0.0,23,3,10,0,1,twitter
45023,0.0,1291,78,233,0,0,twitter
35,0.0,10,2,7,1,1,twitter
14070,0.0,1553,1287,471,1,0,twitter
175,0.0,16,1,16,0,1,twitter
153,0.0,0,12,18,0,1,twitter
41410,0.0,1768,1269,389,1,0,twitter
28,0.0,1,16,22,0,1,twitter
32258,1.0,845,1848,246,0,0,twitter
190,0.0,27,8,11,0,1,twitter
105,0.0,16,4,39,0,1,twitter
43803,1.0,3984,1061,256,1,0,twitter
81,0.0,19,5,11,0,1,twitter
26,0.0,27,11,7,0,1,twitter
25751,0.0,1645,783,123,1,0,twitter
46302,1.0,2047,262,268,1,0,twitter
65,0.0,8,4,26,0,1,twitter
199,0.0,10,10,6,0,1,twitter
27425,0.0,2599,1328,130,1,0,twitter
179,0.0,0,14,2,1,1,twitter
14,0.0,2,7,24,0,1,twitter
180,0.0,16,3,31,1,1,twitter
22281,0.0,2420,1903,233,1,0,twitter
146,0.0,18,14,39,1,1,twitter
41973,1.0,1968,863,154,1,0,twitter
18843,0.0,141,433,179,1,0,twitter
23721,0.0,4412,1030,440,1,0,twitter
89,0.0,2,10,38,0,1,twitter
151,0.0,17,0,35,1,1,twitter
68,0.0,4,15,29,0,1,twitter
131,0.0,28,17,12,1,1,twitter
167,0.0,3,6,24,0,1,twitter
149,0.0,4,10,20,1,1,twitter
132,0.0,26,13,38,0,1,twitter
15023,0.0,2338,551,104,0,0,twitter
20428,1.0,2724,330,277,1,0,twitter
48,0.0,12,12,17,0,1,twitter
47102,0.0,4200,1789,126,1,0,twitter
140,0.0,0,7,8,1,1,twitter
97,0.0,17,18,25,1,1,twitter
14239,1.0,2593,1108,199,1,0,twitter
26,0.0,1,5,19,0,1,twitter
4914,1.0,1224,1803,235,1,0,twitter
63,0.0,22,2,15,0,1,twitter
127,0.0,22,19,6,1,1,twitter
39883,0.0,925,1379,97,1,0,twitter
89,0.0,14,1,8,0,1,twitter
10268,0.0,1720,621,189,1,0,twitter
152,0.0,20,13,24,0,1,twitter
54,0.0,1,7,18,0,1,twitter
27789,1.0,967,81,261,1,0,twitter
36910,1.0,3212,1580,119,0,0,twitter
113,0.0,22,0,25,0,1,twitter
19113,1.0,2036,355,159,1,0,twitter
3581,0.0,436,936,407,1,0,twitter
34842,0.0,4118,492,120,0,0,twitter
25603,1.0,4654,1959,155,1,0,twitter
28761,0.0,4071,1833,88,1,0,twitter
150,0.0,25,12,12,1,1,twitter
100,0.0,27,10,7,0,1,twitter
6,0.0,16,9,9,0,1,twitter
40941,0.0,3264,1997,273,1,0,twitter
110,0.0,9,6,17,0,1,twitter
14393,0.0,541,835,275,1,0,twitter
83,0.0,27,11,20,0,1,twitter
133,0.0,5,9,6,0,1,twitter
8048,0.0,1848,153,273,1,0,twitter
3,0.0,11,11,10,0,1,twitter
46326,0.0,412,1987,493,1,0,twitter
31,0.0,7,11,3,1,1,twitter
24940,0.0,2774,302,490,1,0,twitter
28645,0.0,4553,824,312,1,0,twitter
100,0.0,7,11,13,0,1,twitter
22558,1.0,1813,1089,413,1,0,twitter
32743,0.0,3297,441,355,1,0,twitter
26792,1.0,1735,944,418,1,0,twitter
5454,0.0,910,1090,439,1,0,twitter
142,0.0,19,17,9,0,1,twitter
38792,1.0,1380,282,426,1,0,twitter
15091,1.0,4019,1080,381,0,0,twitter
15258,0.0,4659,1242,364,0,0,twitter
18458,0.0,2084,1049,196,1,0,twitter
51,0.0,8,2,19,0,1,twitter
110,0.0,26,10,1,0,1,twitter
182,0.0,20,13,38,0,1,twitter
18866,0.0,1482,998,256,1,0,twitter
7666,0.0,3567,71,117,1,0,twitter
17880,0.0,3472,926,331,1,0,twitter
23260,0.0,2891,1820,241,0,0,twitter
22542,1.0,529,500,345,1,0,twitter
165,0.0,10,5,25,0,1,twitter
2519,1.0,650,1893,205,1,0,twitter
15,0.0,7,7,35,0,1,twitter
2253,0.0,2346,362,393,1,0,twitter
6495,0.0,130,1960,463,0,0,twitter
77,0.0,2,18,1,0,1,twitter
194,0.0,14,19,7,0,1,twitter
185,0.0,24,6,36,0,1,twitter
9991,0.0,955,1135,105,1,0,twitter
162,0.0,10,19,4,0,1,twitter
48330,0.0,4282,941,304,1,0,twitter
1,0.0,27,16,9,0,1,twitter
12,0.0,7,8,25,1,1,twitter
7774,0.0,1137,1258,473,1,0,twitter
28490,0.0,1605,340,380,1,0,twitter
21633,0.0,2469,774,307,1,0,twitter
140,0.0,26,3,35,0,1,twitter
126,0.0,26,16,31,0,1,twitter
136,0.0,29,11,14,0,1,twitter
14798,1.0,4515,1387,471,1,0,twitter
17173,1.0,1083,142,224,1,0,twitter
60,0.0,25,0,20,0,1,twitter
11274,0.0,3516,1013,485,1,0,twitter
23696,0.0,3349,45,100,1,0,twitter
153,0.0,23,10,3,0,1,twitter
36458,0.0,1839,70,333,1,0,twitter
48,0.0,26,16,0,0,1,twitter
130,0.0,1,12,39,1,1,twitter
26,0.0,2,0,25,0,1,twitter
4322,0.0,4259,1246,241,1,0,twitter
38,0.0,11,19,3,1,1,twitter
60,0.0,8,7,11,0,1,twitter
51,0.0,5,11,39,0,1,twitter
39563,0.0,3569,990,366,1,0,twitter
11643,0.0,2270,1116,356,1,0,twitter
39339,1.0,4068,1363,168,1,0,twitter
97,0.0,21,9,12,0,1,twitter
145,0.0,3,13,36,0,1,twitter
715,1.0,482,531,400,1,0,twitter
155,0.0,26,4,18,1,1,twitter
39633,0.0,4652,1063,406,1,0,twitter
1,0.0,8,12,11,0,1,twitter
61,0.0,8,1,21,0,1,twitter
34029,0.0,2335,700,382,1,0,twitter
196,0.0,24,6,32,1,1,twitter
46771,1.0,3381,1358,474,1,0,twitter
47,0.0,3,4,16,1,1,twitter
122,0.0,13,4,2,1,1,twitter
84,0.0,19,17,29,0,1,twitter
109,0.0,7,12,28,0,1,twitter
186,0.0,21,13,36,0,1,twitter
3340,0.0,4379,938,431,1,0,twitter
120,0.0,0,15,5,0,1,twitter
40630,0.0,3624,483,436,1,0,twitter
165,0.0,21,18,36,0,1,twitter
188,0.0,22,13,26,1,1,twitter
120,0.0,15,3,38,0,1,twitter
13922,1.0,3322,1425,424,1,0,twitter
125,0.0,6,12,27,1,1,twitter
44618,0.0,400,236,87,1,0,twitter
29765,0.0,3473,178,228,1,0,twitter
72,0.0,14,2,8,0,1,twitter
40452,0.0,2824,1742,115,1,0,twitter
17445,0.0,4921,389,105,0,0,twitter
8722,0.0,2541,751,349,0,0,twitter
50,0.0,10,9,5,0,1,twitter
146,0.0,21,16,9,0,1,twitter
48357,0.0,4994,946,262,0,0,twitter
73,0.0,6,3,18,0,1,twitter
154,0.0,21,4,20,0,1,twitter
99,0.0,1,6,31,0,1,twitter
22237,0.0,125,1546,422,1,0,twitter
3682,0.0,3626,1920,306,1,0,twitter
56,0.0,9,15,27,0,1,twitter
41380,0.0,1099,1272,268,1,0,twitter
107,0.0,2,1,9,0,1,twitter
1324,0.0,996,1666,251,1,0,twitter
5284,0.0,2201,1446,164,1,0,twitter
172,0.0,25,17,32,0,1,twitter
171,0.0,15,1,11,1,1,twitter
7130,0.0,3953,673,161,1,0,twitter
47,0.0,0,6,6,1,1,twitter
180,0.0,15,3,3,0,1,twitter
10128,1.0,2717,466,370,1,0,twitter
29135,0.0,1145,653,467,1,0,twitter
42,0.0,28,4,20,1,1,twitter
110,0.0,23,4,20,0,1,twitter
40,0.0,24,16,4,1,1,twitter
84,0.0,17,3,1,0,1,twitter
5958,1.0,3404,253,167,1,0,twitter
48791,0.0,2093,1672,254,1,0,twitter
16950,0.0,3314,90,217,1,0,twitter
12418,0.0,1760,1207,88,1,0,twitter
25450,0.0,1916,1284,412,1,0,twitter
29,0.0,2,16,37,0,1,twitter
138,0.0,21,1,20,0,1,twitter
13491,0.0,1745,994,110,1,0,twitter
31369,0.0,1182,1384,369,0,0,twitter
86,0.0,28,11,6,0,1,twitter
38050,0.0,2664,1924,149,1,0,twitter
124,0.0,24,18,13,0,1,twitter
35681,0.0,570,202,214,0,0,twitter
180,0.0,27,9,13,0,1,twitter
2951,0.0,4552,182,145,1,0,twitter
127,0.0,17,3,30,1,1,twitter
17874,0.0,750,233,355,1,0,twitter
20522,0.0,1272,1204,85,1,0,twitter
32,0.0,11,16,22,0,1,twitter
77,0.0,27,12,25,0,1,twitter
5395,0.0,3716,1364,316,1,0,twitter
6916,0.0,4128,74,464,1,0,twitter
5281,1.0,340,1902,247,1,0,twitter
50,0.0,15,17,36,0,1,twitter
33142,1.0,2829,627,245,1,0,twitter
120,0.0,23,6,12,0,1,twitter
33228,0.0,2799,1464,392,1,0,twitter
45,0.0,1,16,39,0,1,twitter
119,0.0,3,0,24,0,1,twitter
63,0.0,10,15,20,0,1,twitter
2829,0.0,3846,1332,253,1,0,twitter
164,0.0,2,5,19,0,1,twitter
30163,0.0,4996,1498,366,1,0,twitter
11881,0.0,4220,216,418,1,0,twitter
6,0.0,13,6,5,0,1,twitter
44962,1.0,3001,302,374,1,0,twitter
79,0.0,24,13,21,1,1,twitter
24617,0.0,3894,340,372,1,0,twitter
7811,1.0,2041,1354,477,0,0,twitter
162,0.0,3,3,1,1,1,twitter
1881,0.0,1779,1289,131,1,0,twitter
66,0.0,1,15,19,1,1,twitter
101,0.0,0,8,2,0,1,twitter
24829,0.0,1818,1292,426,1,0,twitter
43,0.0,1,8,31,1,1,twitter
120,0.0,1,9,10,0,1,twitter
7719,0.0,3792,1061,447,1,0,twitter
128,0.0,0,3,26,0,1,twitter
123,0.0,1,15,30,1,1,twitter
80,0.0,26,9,0,1,1,twitter
36802,1.0,2825,767,247,0,0,twitter
31,0.0,25,13,30,0,1,twitter
63,0.0,3,16,38,1,1,twitter
116,0.0,15,12,7,0,1,twitter
104,0.0,29,2,36,0,1,twitter
158,0.0,26,7,35,1,1,twitter
113,0.0,23,5,23,0,1,twitter
42410,1.0,4342,496,285,1,0,twitter
119,0.0,5,3,6,0,1,twitter
55,0.0,18,12,31,0,1,twitter
2639,0.0,4974,1652,398,1,0,twitter
36987,0.0,4647,1679,329,1,0,twitter
7,0.0,15,9,15,0,1,twitter
24470,0.0,4027,562,93,1,0,twitter
1421,0.0,4732,913,155,1,0,twitter
168,0.0,25,5,26,0,1,twitter
94,0.0,28,8,22,0,1,twitter
140,0.0,29,11,7,0,1,twitter
47114,0.0,1295,512,138,1,0,twitter
187,0.0,24,10,6,0,1,twitter
15162,0.0,3488,1574,452,1,0,twitter
3548,0.0,1705,1899,491,1,0,twitter
30,0.0,21,16,23,0,1,twitter
22,0.0,26,2,19,1,1,twitter
114,0.0,29,12,36,0,1,twitter
1,0.0,22,10,31,1,1,twitter
36,0.0,24,2,20,1,1,twitter
24452,0.0,1488,942,482,0,0,twitter
12705,0.0,2159,233,286,1,0,twitter
113,0.0,23,1,6,0,1,twitter
22810,0.0,2519,702,90,1,0,twitter
86,0.0,17,1,9,1,1,twitter
33991,1.0,3892,1255,116,1,0,twitter
147,0.0,21,13,19,0,1,twitter
29,0.0,13,0,10,0,1,twitter
86,0.0,6,14,26,0,1,twitter
164,0.0,20,2,28,0,1,twitter
64,0.0,22,14,10,0,1,twitter
36990,0.0,4808,1140,153,1,0,twitter
27579,0.0,1532,1861,421,1,0,twitter
42146,0.0,3242,1529,80,1,0,twitter
143,0.0,28,15,34,0,1,twitter
10601,0.0,2877,1007,450,1,0,twitter
9205,1.0,2509,1643,85,0,0,twitter
22690,0.0,2660,240,464,1,0,twitter
4189,0.0,963,1025,175,1,0,twitter
182,0.0,25,12,17,0,1,twitter
20474,0.0,4929,1697,205,1,0,twitter
87,0.0,27,1,28,0,1,twitter
4126,1.0,1587,546,253,1,0,twitter
30,0.0,7,16,14,0,1,twitter
185,0.0,0,9,29,0,1,twitter
14888,0.0,3307,1057,347,0,0,twitter
30999,1.0,4309,1528,95,1,0,twitter
59,0.0,11,2,3,0,1,twitter
2458,0.0,754,1138,257,1,0,twitter
28027,0.0,1167,795,411,1,0,twitter
45528,1.0,1494,318,270,1,0,twitter
13831,0.0,2031,1811,84,1,0,twitter
77,0.0,2,2,37,0,1,twitter
7129,0.0,1328,224,455,1,0,twitter
135,0.0,23,6,38,1,1,twitter
38707,0.0,4323,1189,262,1,0,twitter
29993,0.0,1018,147,125,1,0,twitter
39581,0.0,645,796,449,1,0,twitter
96,0.0,10,4,21,1,1,twitter
35461,1.0,4700,105,356,1,0,twitter
15727,0.0,3252,1128,274,1,0,twitter
19,0.0,12,14,35,0,1,twitter
38744,0.0,1901,463,202,1,0,twitter
30474,0.0,1828,1159,288,1,0,twitter
13,0.0,11,17,27,0,1,twitter
118,0.0,13,6,35,1,1,twitter
164,0.0,26,12,32,0,1,twitter
30828,0.0,1244,762,402,1,0,twitter
150,0.0,10,10,34,0,1,twitter
13,0.0,28,16,29,1,1,twitter
46,0.0,11,17,33,0,1,twitter
30,0.0,10,17,21,1,1,twitter
23702,1.0,3834,419,386,1,0,twitter
117,0.0,11,9,36,1,1,twitter
20039,1.0,2745,541,419,1,0,twitter
42637,0.0,2709,1319,233,1,0,twitter
134,0.0,1,13,3,0,1,twitter
45672,0.0,4582,1418,384,1,0,twitter
17374,0.0,2215,1565,404,1,0,twitter
124,0.0,19,18,11,0,1,twitter
42174,1.0,3516,1198,225,1,0,twitter
42253,0.0,262,361,201,1,0,twitter
82,0.0,11,12,8,1,1,twitter
82,0.0,20,11,39,0,1,twitter
47892,0.0,2504,1457,482,1,0,twitter
5965,0.0,3357,1355,226,1,0,twitter
130,0.0,27,19,38,0,1,twitter
8,0.0,18,16,25,0,1,twitter
83,0.0,16,2,1,0,1,twitter
18287,0.0,919,786,176,0,0,twitter
140,0.0,15,6,15,0,1,twitter
38828,1.0,3805,880,254,1,0,twitter
95,0.0,17,12,22,1,1,twitter
196,0.0,1,1,29,0,1,twitter
45,0.0,11,1,35,0,1,twitter
43212,0.0,884,1183,163,1,0,twitter
14231,0.0,188,925,345,0,0,twitter
28285,0.0,4575,418,340,1,0,twitter
146,0.0,2,17,19,0,1,twitter
6126,0.0,728,1465,168,1,0,twitter
155,0.0,29,6,30,1,1,twitter
9247,1.0,1492,1512,413,1,0,twitter
126,0.0,20,16,31,1,1,twitter
57,0.0,15,8,2,0,1,twitter
39700,1.0,3851,757,322,0,0,twitter
1162,0.0,805,1548,335,1,0,twitter
25872,0.0,1785,1217,204,1,0,twitter
14693,0.0,346,436,165,0,0,twitter
27,0.0,19,13,16,0,1,twitter
28,0.0,13,13,11,1,1,twitter
148,0.0,19,7,21,0,1,twitter
173,0.0,0,1,25,0,1,twitter
42661,0.0,643,422,301,0,0,twitter
26182,0.0,2954,22,344,1,0,twitter
26,0.0,3,12,4,0,1,twitter
42,0.0,29,0,3,1,1,twitter
161,0.0,8,0,18,1,1,twitter
38131,1.0,2467,1802,326,1,0,twitter
193,0.0,8,19,11,0,1,twitter
167,0.0,27,19,16,0,1,twitter
116,0.0,24,14,13,0,1,twitter
125,0.0,28,6,27,0,1,twitter
26797,1.0,2025,819,383,0,0,twitter
140,0.0,13,4,2,0,1,twitter
19178,0.0,2337,1772,284,1,0,twitter
6086,0.0,1464,834,233,1,0,twitter
4,0.0,25,5,7,1,1,twitter
93,0.0,13,19,30,1,1,twitter
2419,0.0,4254,535,375,0,0,twitter
21005,0.0,2920,1326,253,1,0,twitter
24722,0.0,2817,312,358,1,0,twitter
34773,0.0,2880,446,352,1,0,twitter
6671,0.0,922,647,201,0,0,twitter
6642,0.0,3204,334,245,1,0,twitter
8750,0.0,182,786,293,1,0,twitter
33434,0.0,4595,415,275,1,0,twitter
5,0.0,26,1,14,1,1,twitter
149,0.0,23,5,36,1,1,twitter
10434,1.0,3481,774,166,1,0,twitter
137,0.0,13,0,33,0,1,twitter
7,0.0,24,14,30,0,1,twitter
18565,0.0,1113,1672,491,1,0,twitter
108,0.0,12,3,1,1,1,twitter
41971,1.0,582,1306,349,1,0,twitter
11,0.0,18,16,11,1,1,twitter
40,0.0,14,2,5,1,1,twitter
102,0.0,27,19,26,1,1,twitter
95,0.0,17,18,25,0,1,twitter
9983,0.0,1591,50,477,1,0,twitter
27,0.0,16,2,28,0,1,twitter
875,0.0,3170,1311,473,1,0,twitter
36412,1.0,2753,922,229,1,0,twitter
51,0.0,0,1,29,0,1,twitter
72,0.0,14,3,21,0,1,twitter
40,0.0,19,6,0,1,1,twitter
30,0.0,4,10,25,0,1,twitter
14910,0.0,4259,823,189,1,0,twitter
37370,0.0,1443,1382,403,0,0,twitter
26153,0.0,772,839,181,1,0,twitter
17497,0.0,1555,1906,148,1,0,twitter
98,0.0,2,4,14,0,1,twitter
5,0.0,8,7,5,0,1,twitter
174,0.0,28,14,19,0,1,twitter
40912,0.0,2909,289,324,1,0,twitter
20909,0.0,1086,369,450,1,0,twitter
178,0.0,18,15,29,0,1,twitter
150,0.0,19,2,24,1,1,twitter
144,0.0,28,11,26,1,1,twitter
18668,1.0,180,257,395,1,0,twitter
33592,0.0,4726,624,425,1,0,twitter
135,0.0,6,3,32,0,1,twitter
116,0.0,4,2,32,1,1,twitter
129,0.0,25,15,4,0,1,twitter
77,0.0,23,7,2,0,1,twitter
46459,0.0,3028,1182,214,1,0,twitter
115,0.0,5,13,4,1,1,twitter
2803,1.0,3003,1728,281,1,0,twitter
28028,0.0,1645,1743,220,0,0,twitter
34992,1.0,2749,830,102,1,0,twitter
176,0.0,9,8,31,0,1,twitter
46943,1.0,2969,1993,293,1,0,twitter
30779,0.0,944,1268,291,1,0,twitter
52,0.0,9,5,28,0,1,twitter
7,0.0,17,11,26,0,1,twitter
73,0.0,20,9,2,0,1,twitter
160,0.0,26,2,14,0,1,twitter
30491,0.0,2327,617,461,1,0,twitter
24,0.0,11,5,18,0,1,twitter
186,0.0,26,11,31,0,1,twitter
163,0.0,9,1,32,0,1,twitter
115,0.0,19,14,28,0,1,twitter
178,0.0,10,17,23,0,1,twitter
30,0.0,9,15,2,1,1,twitter
27,0.0,1,4,34,0,1,twitter
20809,0.0,3995,1287,359,1,0,twitter
123,0.0,1,0,32,0,1,twitter
115,0.0,14,3,10,0,1,twitter
159,0.0,1,7,5,0,1,twitter
90,0.0,22,3,16,1,1,twitter
38,0.0,9,19,13,0,1,twitter
123,0.0,9,14,32,0,1,twitter
187,0.0,26,0,34,0,1,twitter
8314,0.0,4043,1864,339,0,0,twitter
28106,0.0,2830,1073,237,1,0,twitter
47877,1.0,4762,25,485,1,0,twitter
68,0.0,12,16,5,0,1,twitter
35378,1.0,1805,1518,241,1,0,twitter
188,0.0,28,6,33,0,1,twitter
51,0.0,3,4,10,0,1,twitter
191,0.0,28,6,1,0,1,twitter
167,0.0,1,9,38,0,1,twitter
179,0.0,8,0,4,0,1,twitter
152,0.0,24,2,10,0,1,twitter
11719,1.0,3733,833,307,1,0,twitter
0,0.0,16,18,21,0,1,twitter
128,0.0,14,5,9,0,1,twitter
13163,0.0,2926,1091,223,1,0,twitter
47611,1.0,4562,383,412,1,0,twitter
26143,0.0,3133,369,255,0,0,twitter
91,0.0,23,14,3,0,1,twitter
39793,0.0,2746,487,498,1,0,twitter
76,0.0,15,12,17,0,1,twitter
16442,1.0,3474,786,251,0,0,twitter
45289,0.0,793,1373,468,1,0,twitter
37481,1.0,4616,1165,357,1,0,twitter
27069,1.0,458,1342,298,1,0,twitter
106,0.0,22,18,6,1,1,twitter
74,0.0,2,12,38,0,1,twitter
47374,0.0,1239,147,345,0,0,twitter
147,0.0,15,4,39,0,1,twitter
159,0.0,6,5,2,0,1,twitter
81,0.0,23,3,19,1,1,twitter
62,0.0,13,0,16,1,1,twitter
13441,0.0,4986,1452,233,1,0,twitter
22423,0.0,3526,630,340,1,0,twitter
25100,0.0,1715,1140,369,1,0,twitter
4067,0.0,4056,1297,356,1,0,twitter
53,0.0,18,0,2,0,1,twitter
17274,1.0,1118,467,369,1,0,twitter
192,0.0,21,19,12,0,1,twitter
11690,1.0,55,86,461,1,0,twitter
19282,0.0,916,739,253,1,0,twitter
28673,0.0,3906,1481,480,1,0,twitter
1841,0.0,605,1954,464,1,0,twitter
27653,0.0,2937,1488,245,0,0,twitter
1678,0.0,1482,1714,313,1,0,twitter
49091,0.0,1753,421,258,1,0,twitter
34826,1.0,662,481,414,1,0,twitter
20111,0.0,1573,1050,84,1,0,twitter
39026,0.0,166,755,136,1,0,twitter
97,0.0,26,16,34,0,1,twitter
9,0.0,18,1,21,0,1,twitter
46844,1.0,1596,331,461,1,0,twitter
43906,0.0,2139,1476,270,1,0,twitter
42461,0.0,1704,1564,489,1,0,twitter
157,0.0,10,5,39,0,1,twitter
195,0.0,16,15,12,0,1,twitter
169,0.0,29,11,17,0,1,twitter
165,0.0,29,13,7,0,1,twitter
167,0.0,4,5,5,0,1,twitter
35005,0.0,2778,1980,235,1,0,twitter
32423,0.0,4372,405,309,1,0,twitter
34132,0.0,1813,682,332,1,0,twitter
32805,0.0,4458,1290,195,0,0,twitter
100,0.0,6,14,25,0,1,twitter
40117,0.0,1805,789,157,1,0,twitter
1651,1.0,3814,341,384,1,0,twitter
29873,0.0,3067,734,346,0,0,twitter
86,0.0,10,6,31,0,1,twitter
40530,0.0,2823,1418,427,1,0,twitter
70,0.0,3,13,38,0,1,twitter
13377,1.0,51,828,342,1,0,twitter
36,0.0,23,7,15,0,1,twitter
